sex,yob,g2000,g2002,g2004,p2000,p2002,p2004,treatment,cluster,voted,hh_id,hh_size,numberofnames,p2004_mean,g2004_mean,voted_ind
male,1943,yes,yes,yes,yes,yes,No,Hawthorne,21,No,361,2,21,0.047619,0.952381,0
male,1946,yes,yes,yes,yes,yes,No,Control,21,No,362,2,21,0.047619,0.9047619,0
female,1947,yes,yes,yes,no,no,No,Control,21,No,362,2,21,0.047619,0.9047619,0
female,1953,yes,yes,yes,no,yes,No,Self,21,No,363,2,21,0.1904762,0.9047619,0
male,1955,yes,yes,yes,no,no,No,Self,21,No,363,2,21,0.1904762,0.9047619,0
male,1969,yes,yes,yes,no,yes,Yes,Self,21,Yes,364,2,21,0.1904762,1,1
female,1969,yes,yes,yes,no,no,Yes,Self,21,Yes,364,2,21,0.1904762,1,1
male,1959,yes,yes,yes,no,no,Yes,Control,21,No,365,2,21,0.0952381,1,0
female,1962,yes,yes,yes,no,no,Yes,Control,21,No,365,2,21,0.0952381,1,0
female,1953,yes,yes,yes,no,no,No,Civic Duty,21,No,366,2,21,0.047619,0.9047619,0
male,1949,yes,yes,yes,no,yes,No,Civic Duty,21,No,366,2,21,0.047619,0.9047619,0
male,1945,yes,no,yes,no,no,No,Hawthorne,21,Yes,367,2,21,0.1904762,0.9047619,1
female,1943,yes,yes,yes,yes,no,No,Hawthorne,21,Yes,367,2,21,0.1904762,0.9047619,1
female,1959,no,yes,yes,no,no,Yes,Neighbors,21,No,368,2,21,0.1904762,0.9047619,0
male,1954,yes,no,yes,no,no,No,Neighbors,21,No,368,2,21,0.1904762,0.9047619,0
female,1967,yes,yes,yes,no,no,No,Control,21,No,369,2,21,0.1428571,0.8095238,0
male,1965,yes,yes,yes,no,no,No,Control,21,No,369,2,21,0.1428571,0.8095238,0
male,1954,yes,yes,yes,yes,no,No,Civic Duty,21,No,370,2,21,0.2380952,0.8095238,0
female,1954,no,no,yes,no,no,No,Civic Duty,21,No,370,2,21,0.2380952,0.8095238,0
male,1960,yes,no,yes,yes,no,Yes,Control,21,No,371,1,21,0.2380952,0.9047619,0
male,1946,yes,yes,yes,yes,no,No,Control,21,No,372,3,21,0.2857143,1,0
female,1983,no,no,yes,no,no,No,Control,21,No,372,3,21,0.2857143,1,0
female,1948,yes,yes,yes,yes,no,No,Control,21,No,372,3,21,0.2857143,1,0
female,1950,yes,yes,yes,no,no,Yes,Control,21,No,373,2,21,0.2380952,1,0
male,1947,yes,yes,yes,no,no,Yes,Control,21,No,373,2,21,0.2380952,1,0
female,1952,no,no,yes,no,no,No,Control,21,No,374,3,21,0.0952381,0.952381,0
male,1952,yes,yes,yes,yes,yes,No,Control,21,Yes,374,3,21,0.0952381,0.952381,1
female,1985,no,no,yes,no,no,No,Control,21,No,374,3,21,0.0952381,0.952381,0
female,1955,yes,yes,yes,no,no,Yes,Control,21,No,375,2,21,0.2857143,0.952381,0
male,1954,yes,yes,yes,no,no,Yes,Control,21,No,375,2,21,0.2857143,0.952381,0
female,1952,yes,yes,yes,yes,yes,Yes,Control,21,Yes,376,3,21,0.2857143,0.952381,1
male,1951,yes,yes,yes,yes,yes,Yes,Control,21,No,376,3,21,0.2857143,0.952381,0
female,1982,yes,yes,yes,no,yes,Yes,Control,21,No,376,3,21,0.2857143,0.952381,0
female,1964,yes,yes,yes,no,yes,No,Control,21,No,377,1,21,0.1428571,0.8571429,0
female,1963,yes,yes,yes,no,no,No,Neighbors,21,No,378,1,21,0.1428571,0.8095238,0
female,1956,yes,yes,yes,no,no,No,Self,31,No,541,1,21,0.1904762,0.8571429,0
female,1963,yes,yes,yes,yes,no,No,Control,31,Yes,542,2,21,0.2857143,0.9047619,1
male,1963,no,yes,yes,no,no,No,Control,31,No,542,2,21,0.2857143,0.9047619,0
male,1960,yes,yes,yes,no,no,Yes,Self,31,Yes,543,2,20,0.25,0.9,1
female,1947,yes,yes,yes,no,no,Yes,Self,31,Yes,543,2,20,0.25,0.9,1
female,1961,yes,yes,yes,yes,yes,No,Hawthorne,31,No,544,1,21,0.2380952,0.8571429,0
male,1937,yes,yes,yes,no,yes,No,Control,31,No,545,1,21,0.1904762,0.8571429,0
female,1959,yes,no,yes,yes,no,Yes,Control,31,No,546,2,21,0.1428571,0.8095238,0
male,1960,yes,no,yes,no,no,No,Control,31,No,546,2,21,0.1428571,0.8095238,0
male,1934,yes,yes,yes,no,yes,No,Neighbors,31,Yes,547,1,21,0.1904762,1,1
male,1981,no,no,yes,no,no,No,Control,31,No,548,3,21,0.1904762,0.952381,0
male,1946,yes,yes,yes,yes,yes,No,Control,31,No,548,3,21,0.1904762,0.952381,0
female,1948,yes,yes,yes,no,yes,No,Control,31,No,548,3,21,0.1904762,0.952381,0
male,1948,yes,yes,yes,yes,yes,No,Control,31,No,549,2,21,0.0952381,0.952381,0
female,1956,yes,yes,yes,no,no,No,Control,31,No,549,2,21,0.0952381,0.952381,0
male,1930,yes,yes,yes,yes,yes,No,Neighbors,31,No,550,2,21,0.0952381,0.9047619,0
female,1967,no,no,yes,no,no,No,Neighbors,31,No,550,2,21,0.0952381,0.9047619,0
female,1960,yes,yes,yes,no,yes,No,Control,31,No,551,2,21,0.1428571,0.952381,0
male,1958,yes,yes,yes,no,yes,No,Control,31,No,551,2,21,0.1428571,0.952381,0
male,1975,yes,yes,yes,no,yes,Yes,Hawthorne,31,No,552,2,21,0.1904762,1,0
female,1976,no,yes,yes,no,no,Yes,Hawthorne,31,No,552,2,21,0.1904762,1,0
female,1986,no,no,yes,no,no,No,Civic Duty,31,No,553,3,21,0.1904762,1,0
male,1961,yes,yes,yes,no,yes,No,Civic Duty,31,No,553,3,21,0.1904762,1,0
female,1963,yes,yes,yes,no,yes,No,Civic Duty,31,No,553,3,21,0.1904762,1,0
male,1961,yes,yes,yes,no,no,No,Control,31,Yes,554,2,21,0.2380952,0.9047619,1
female,1963,yes,yes,yes,no,no,Yes,Control,31,Yes,554,2,21,0.2380952,0.9047619,1
male,1962,yes,yes,yes,no,yes,Yes,Control,31,No,555,2,21,0.3809524,1,0
female,1963,yes,yes,yes,yes,no,No,Control,31,No,555,2,21,0.3809524,1,0
female,1965,yes,yes,yes,yes,no,No,Civic Duty,31,No,556,2,21,0.3809524,1,0
male,1963,yes,yes,yes,yes,no,No,Civic Duty,31,No,556,2,21,0.3809524,1,0
male,1946,yes,yes,yes,yes,yes,No,Control,31,Yes,557,2,21,0.3333333,1,1
female,1951,no,no,yes,no,yes,No,Control,31,No,557,2,21,0.3333333,1,0
male,1967,yes,yes,yes,no,yes,Yes,Control,31,Yes,558,2,21,0.3809524,1,1
female,1970,yes,yes,yes,yes,yes,Yes,Control,31,Yes,558,2,21,0.3809524,1,1
male,1968,no,no,yes,no,no,No,Control,32,No,559,2,21,0.1904762,1,0
female,1971,yes,yes,yes,no,yes,No,Control,32,No,559,2,21,0.1904762,1,0
female,1970,yes,yes,yes,no,no,Yes,Control,32,No,560,2,21,0.1428571,1,0
male,1969,yes,yes,yes,no,no,Yes,Control,32,No,560,2,21,0.1428571,1,0
male,1940,yes,yes,yes,yes,yes,No,Control,32,Yes,561,2,21,0.1428571,1,1
female,1944,yes,yes,yes,yes,yes,No,Control,32,Yes,561,2,21,0.1428571,1,1
male,1953,yes,no,yes,no,no,No,Control,32,No,562,3,21,0.1428571,0.8571429,0
female,1984,no,no,yes,no,no,No,Control,32,No,562,3,21,0.1428571,0.8571429,0
female,1955,yes,yes,yes,yes,no,No,Control,32,No,562,3,21,0.1428571,0.8571429,0
male,1959,yes,yes,yes,no,no,No,Civic Duty,32,Yes,563,2,21,0.1428571,0.9047619,1
female,1962,no,yes,yes,no,no,No,Civic Duty,32,Yes,563,2,21,0.1428571,0.9047619,1
male,1943,yes,yes,yes,no,yes,No,Control,32,No,564,3,21,0.1904762,1,0
male,1966,yes,yes,yes,yes,yes,Yes,Control,32,No,564,3,21,0.1904762,1,0
female,1944,yes,yes,yes,yes,yes,Yes,Control,32,No,564,3,21,0.1904762,1,0
female,1957,yes,yes,yes,no,yes,Yes,Neighbors,32,Yes,565,2,21,0.1904762,0.952381,1
male,1952,yes,yes,yes,no,no,Yes,Neighbors,32,Yes,565,2,21,0.1904762,0.952381,1
male,1963,yes,yes,yes,yes,yes,No,Hawthorne,32,No,566,2,21,0.0952381,0.952381,0
female,1965,yes,yes,yes,no,no,No,Hawthorne,32,No,566,2,21,0.0952381,0.952381,0
female,1958,yes,yes,yes,yes,no,No,Hawthorne,32,No,567,2,21,0.2380952,0.9047619,0
male,1958,yes,yes,yes,yes,yes,No,Hawthorne,32,Yes,567,2,21,0.2380952,0.9047619,1
male,1960,yes,yes,yes,no,no,No,Control,32,No,568,2,21,0.3809524,1,0
female,1957,yes,yes,yes,no,no,No,Control,32,No,568,2,21,0.3809524,1,0
female,1958,yes,yes,yes,no,no,No,Civic Duty,32,No,569,1,21,0.3333333,0.8571429,0
male,1942,yes,yes,yes,no,yes,Yes,Neighbors,32,Yes,570,1,21,0.4285714,0.9047619,1
female,1948,no,yes,yes,yes,no,No,Control,32,No,571,1,21,0.4285714,0.952381,0
female,1966,yes,yes,yes,yes,no,No,Self,32,No,572,1,19,0.2105263,0.9473684,0
male,1944,yes,yes,yes,no,no,No,Control,32,No,573,2,15,0.4,0.9333333,0
female,1946,yes,yes,yes,no,yes,No,Control,32,No,573,2,15,0.4,0.9333333,0
female,1964,yes,no,yes,no,no,Yes,Control,32,No,574,1,21,0.3809524,1,0
male,1959,yes,yes,yes,no,yes,Yes,Self,32,No,575,2,21,0.3809524,0.952381,0
female,1957,yes,yes,yes,no,yes,Yes,Self,32,No,575,2,21,0.3809524,0.952381,0
male,1979,no,no,yes,no,no,No,Control,32,No,576,4,21,0.3809524,1,0
male,1953,yes,yes,yes,no,no,No,Control,32,Yes,576,4,21,0.3809524,1,1
female,1963,yes,yes,yes,yes,yes,No,Control,32,Yes,576,4,21,0.3809524,1,1
male,1981,no,no,yes,no,no,No,Control,32,No,576,4,21,0.3809524,1,0
female,1945,no,yes,yes,yes,no,Yes,Civic Duty,95,Yes,1693,1,21,0.3809524,0.952381,1
male,1946,yes,yes,yes,no,no,No,Control,95,No,1694,3,21,0.1904762,0.8571429,0
female,1984,no,no,yes,no,no,No,Control,95,No,1694,3,21,0.1904762,0.8571429,0
female,1948,yes,yes,yes,no,no,No,Control,95,No,1694,3,21,0.1904762,0.8571429,0
male,1950,yes,yes,yes,no,yes,No,Control,95,No,1695,2,21,0,0.952381,0
female,1949,yes,yes,yes,no,yes,No,Control,95,No,1695,2,21,0,0.952381,0
male,1978,yes,yes,yes,no,yes,No,Control,95,Yes,1696,1,21,0,0.952381,1
male,1958,yes,yes,yes,no,yes,No,Neighbors,95,Yes,1697,1,21,0,0.952381,1
male,1931,no,no,yes,no,no,Yes,Neighbors,95,Yes,1698,1,21,0.5238096,0.8571429,1
male,1947,no,no,yes,no,no,Yes,Control,95,No,1699,3,21,0.5238096,0.8571429,0
female,1978,yes,no,yes,no,no,Yes,Control,95,Yes,1699,3,21,0.5238096,0.8571429,1
male,1975,yes,no,yes,no,yes,Yes,Control,95,Yes,1699,3,21,0.5238096,0.8571429,1
female,1965,yes,yes,yes,no,yes,No,Control,95,Yes,1700,1,21,0.3333333,0.8095238,1
male,1970,yes,yes,yes,no,yes,No,Self,95,Yes,1701,1,21,0.0952381,0.952381,1
male,1956,yes,yes,yes,no,yes,No,Control,95,Yes,1702,1,21,0.0952381,0.952381,1
male,1955,yes,yes,yes,yes,yes,No,Control,95,Yes,1703,2,21,0.0952381,0.952381,1
female,1952,yes,yes,yes,yes,yes,No,Control,95,Yes,1703,2,21,0.0952381,0.952381,1
male,1949,yes,yes,yes,no,yes,No,Hawthorne,95,Yes,1704,3,21,0.1428571,0.9047619,1
female,1949,yes,yes,yes,no,no,No,Hawthorne,95,Yes,1704,3,21,0.1428571,0.9047619,1
female,1986,no,no,yes,no,no,No,Hawthorne,95,Yes,1704,3,21,0.1428571,0.9047619,1
female,1968,yes,yes,yes,no,yes,No,Hawthorne,95,No,1705,1,21,0.4285714,0.952381,0
male,1981,yes,yes,yes,no,yes,No,Control,95,No,1706,3,21,0.4761905,0.8095238,0
female,1955,yes,yes,yes,no,yes,No,Control,95,No,1706,3,21,0.4761905,0.8095238,0
male,1952,yes,yes,yes,no,yes,No,Control,95,Yes,1706,3,21,0.4761905,0.8095238,1
male,1937,yes,yes,yes,no,no,No,Civic Duty,95,Yes,1707,1,21,0.4761905,0.8095238,1
male,1947,yes,yes,yes,no,yes,Yes,Self,95,Yes,1708,1,21,0.4761905,0.9047619,1
male,1980,no,no,yes,no,no,No,Control,95,No,1709,3,21,0.4761905,0.952381,0
male,1950,yes,yes,yes,no,yes,Yes,Control,95,Yes,1709,3,21,0.4761905,0.952381,1
female,1950,yes,yes,yes,no,no,Yes,Control,95,Yes,1709,3,21,0.4761905,0.952381,1
female,1969,yes,yes,yes,no,yes,No,Control,95,Yes,1710,2,21,0.2380952,0.952381,1
male,1971,yes,yes,yes,no,yes,Yes,Control,95,Yes,1710,2,21,0.2380952,0.952381,1
female,1965,yes,yes,yes,no,yes,Yes,Control,137,Yes,2449,2,21,0.3809524,1,1
male,1966,yes,yes,yes,no,yes,No,Control,137,Yes,2449,2,21,0.3809524,1,1
male,1963,yes,yes,yes,no,no,Yes,Self,137,No,2450,2,21,0.2857143,1,0
female,1964,yes,yes,yes,no,no,No,Self,137,No,2450,2,21,0.2857143,1,0
male,1958,yes,yes,yes,no,yes,No,Control,137,No,2451,2,21,0.2380952,1,0
female,1965,yes,yes,yes,yes,yes,No,Control,137,No,2451,2,21,0.2380952,1,0
female,1964,yes,yes,yes,no,yes,No,Control,137,No,2452,2,21,0.1904762,0.952381,0
male,1961,yes,yes,yes,no,yes,No,Control,137,No,2452,2,21,0.1904762,0.952381,0
male,1931,yes,yes,yes,yes,no,Yes,Control,137,No,2453,2,21,0.2857143,0.952381,0
male,1961,no,no,yes,no,no,Yes,Control,137,No,2453,2,21,0.2857143,0.952381,0
female,1951,yes,yes,yes,no,yes,No,Self,137,Yes,2454,1,21,0.2380952,1,1
female,1985,no,no,yes,no,no,Yes,Civic Duty,137,Yes,2455,4,21,0.3333333,1,1
male,1951,yes,yes,yes,yes,yes,Yes,Civic Duty,137,Yes,2455,4,21,0.3333333,1,1
female,1953,yes,yes,yes,no,no,Yes,Civic Duty,137,No,2455,4,21,0.3333333,1,0
female,1983,no,yes,yes,no,yes,Yes,Civic Duty,137,Yes,2455,4,21,0.3333333,1,1
female,1966,no,yes,yes,no,yes,No,Hawthorne,137,Yes,2456,2,21,0.3333333,1,1
male,1958,yes,yes,yes,no,yes,No,Hawthorne,137,Yes,2456,2,21,0.3333333,1,1
male,1957,no,yes,yes,no,yes,No,Control,137,Yes,2457,2,21,0.1904762,0.952381,1
female,1957,no,yes,yes,no,no,No,Control,137,Yes,2457,2,21,0.1904762,0.952381,1
male,1939,yes,no,yes,no,yes,No,Control,137,Yes,2458,1,21,0.1904762,0.952381,1
female,1956,yes,yes,yes,no,no,No,Hawthorne,137,Yes,2459,2,21,0.2857143,0.952381,1
male,1958,yes,yes,yes,no,no,No,Hawthorne,137,No,2459,2,21,0.2857143,0.952381,0
female,1965,yes,yes,yes,no,yes,No,Control,137,Yes,2460,2,21,0.2380952,1,1
male,1959,yes,yes,yes,no,yes,No,Control,137,Yes,2460,2,21,0.2380952,1,1
female,1985,no,no,yes,no,no,No,Neighbors,137,No,2461,3,21,0.2380952,0.952381,0
male,1956,yes,yes,yes,no,no,No,Neighbors,137,No,2461,3,21,0.2380952,0.952381,0
female,1955,yes,yes,yes,no,no,No,Neighbors,137,No,2461,3,21,0.2380952,0.952381,0
male,1986,no,no,yes,no,no,No,Control,137,Yes,2462,2,21,0.2380952,0.952381,1
female,1953,yes,yes,yes,no,yes,No,Control,137,Yes,2462,2,21,0.2380952,0.952381,1
male,1941,yes,yes,yes,yes,yes,Yes,Neighbors,137,Yes,2463,2,21,0.1904762,1,1
female,1944,yes,yes,yes,no,yes,No,Neighbors,137,Yes,2463,2,21,0.1904762,1,1
male,1955,yes,yes,yes,no,no,No,Control,137,No,2464,2,21,0.2380952,0.952381,0
female,1955,yes,yes,yes,no,no,No,Control,137,No,2464,2,21,0.2380952,0.952381,0
male,1958,yes,yes,yes,no,yes,No,Civic Duty,137,No,2465,2,21,0.047619,0.9047619,0
female,1961,yes,yes,yes,no,yes,No,Civic Duty,137,No,2465,2,21,0.047619,0.9047619,0
female,1940,yes,yes,yes,no,yes,No,Control,137,No,2466,1,21,0.1904762,0.952381,0
male,1960,yes,yes,yes,no,yes,Yes,Civic Duty,146,Yes,2611,2,21,0.4761905,1,1
female,1959,yes,yes,yes,no,yes,Yes,Civic Duty,146,Yes,2611,2,21,0.4761905,1,1
male,1939,yes,yes,yes,no,no,No,Control,146,No,2612,1,21,0.4285714,1,0
female,1953,yes,yes,yes,no,yes,No,Control,146,Yes,2613,2,21,0.0952381,1,1
male,1953,yes,yes,yes,yes,yes,Yes,Control,146,Yes,2613,2,21,0.0952381,1,1
female,1946,yes,yes,yes,no,yes,No,Control,146,Yes,2614,2,21,0.0952381,1,1
male,1946,yes,yes,yes,no,yes,No,Control,146,Yes,2614,2,21,0.0952381,1,1
male,1954,yes,yes,yes,no,yes,No,Control,146,No,2615,1,21,0.0952381,1,0
male,1954,yes,yes,yes,no,no,No,Control,146,No,2616,2,21,0.1428571,1,0
female,1961,yes,no,yes,no,no,No,Control,146,No,2616,2,21,0.1428571,1,0
male,1958,yes,yes,yes,no,no,No,Control,146,No,2617,2,21,0.1428571,1,0
female,1965,yes,yes,yes,no,no,No,Control,146,No,2617,2,21,0.1428571,1,0
female,1933,yes,yes,yes,no,yes,No,Neighbors,146,No,2618,2,21,0.2380952,0.952381,0
male,1924,yes,yes,yes,no,yes,No,Neighbors,146,Yes,2618,2,21,0.2380952,0.952381,1
male,1950,yes,yes,yes,no,no,No,Self,146,Yes,2619,2,21,0,0.952381,1
female,1951,yes,yes,yes,no,no,No,Self,146,Yes,2619,2,21,0,0.952381,1
female,1957,yes,yes,yes,no,no,No,Civic Duty,146,Yes,2620,2,21,0,0.952381,1
male,1952,yes,no,yes,no,yes,No,Civic Duty,146,Yes,2620,2,21,0,0.952381,1
female,1967,yes,yes,yes,no,no,No,Self,146,Yes,2621,2,21,0.4761905,0.952381,1
male,1969,yes,yes,yes,no,no,No,Self,146,No,2621,2,21,0.4761905,0.952381,0
male,1947,yes,yes,yes,no,yes,Yes,Control,146,Yes,2622,2,21,0.4761905,0.952381,1
female,1948,yes,yes,yes,yes,yes,Yes,Control,146,Yes,2622,2,21,0.4761905,0.952381,1
female,1958,yes,yes,yes,no,no,No,Hawthorne,146,No,2623,2,21,0.3809524,1,0
male,1953,yes,yes,yes,no,no,No,Hawthorne,146,No,2623,2,21,0.3809524,1,0
female,1967,yes,no,yes,no,no,Yes,Control,146,Yes,2624,2,21,0.3333333,1,1
male,1958,yes,yes,yes,no,no,No,Control,146,No,2624,2,21,0.3333333,1,0
male,1957,yes,yes,yes,no,no,No,Control,146,No,2625,2,21,0.4285714,1,0
female,1957,yes,yes,yes,no,no,Yes,Control,146,No,2625,2,21,0.4285714,1,0
male,1947,yes,yes,yes,yes,no,Yes,Hawthorne,146,No,2626,3,21,0.7142857,0.952381,0
female,1983,no,no,yes,no,no,Yes,Hawthorne,146,No,2626,3,21,0.7142857,0.952381,0
female,1948,yes,yes,yes,yes,yes,Yes,Hawthorne,146,Yes,2626,3,21,0.7142857,0.952381,1
male,1936,yes,yes,yes,no,yes,Yes,Neighbors,146,Yes,2627,3,21,0.6190476,0.952381,1
female,1947,yes,yes,yes,no,yes,Yes,Neighbors,146,Yes,2627,3,21,0.6190476,0.952381,1
female,1977,no,yes,yes,no,yes,No,Neighbors,146,No,2627,3,21,0.6190476,0.952381,0
male,1979,yes,yes,yes,no,no,No,Control,146,No,2628,3,21,0.4761905,1,0
female,1953,yes,yes,yes,no,yes,No,Control,146,No,2628,3,21,0.4761905,1,0
male,1952,yes,yes,yes,no,yes,Yes,Control,146,No,2628,3,21,0.4761905,1,0
male,1930,yes,yes,yes,no,yes,No,Hawthorne,156,Yes,2791,2,21,0.1904762,0.952381,1
female,1936,yes,yes,yes,no,yes,Yes,Hawthorne,156,Yes,2791,2,21,0.1904762,0.952381,1
female,1945,yes,yes,yes,no,yes,No,Control,156,Yes,2792,3,21,0.3333333,1,1
female,1969,no,yes,yes,no,no,No,Control,156,No,2792,3,21,0.3333333,1,0
male,1943,no,no,yes,no,no,No,Control,156,No,2792,3,21,0.3333333,1,0
male,1925,yes,yes,yes,yes,yes,Yes,Control,156,Yes,2793,2,21,0.5238096,1,1
female,1934,yes,yes,yes,no,no,Yes,Control,156,Yes,2793,2,21,0.5238096,1,1
female,1928,yes,yes,yes,no,yes,No,Civic Duty,156,No,2794,1,21,0.5238096,0.952381,0
male,1939,yes,yes,yes,no,no,No,Control,156,No,2795,2,21,0.6190476,0.952381,0
female,1944,yes,yes,yes,yes,yes,No,Control,156,No,2795,2,21,0.6190476,0.952381,0
male,1946,yes,yes,yes,no,yes,No,Neighbors,156,No,2796,1,21,0.6190476,1,0
female,1932,yes,yes,yes,no,yes,No,Control,156,No,2797,1,21,0.4761905,0.952381,0
female,1949,yes,yes,yes,no,no,Yes,Control,156,Yes,2798,1,21,0.5714286,0.952381,1
female,1985,no,no,yes,no,no,Yes,Neighbors,156,No,2799,2,21,0.4761905,0.952381,0
female,1955,yes,yes,yes,no,yes,No,Neighbors,156,No,2799,2,21,0.4761905,0.952381,0
male,1971,yes,yes,yes,no,yes,No,Control,156,No,2800,2,21,0.2380952,1,0
female,1968,yes,no,yes,no,no,No,Control,156,No,2800,2,21,0.2380952,1,0
female,1958,yes,yes,yes,no,yes,No,Hawthorne,156,No,2801,2,21,0.2380952,1,0
male,1958,yes,yes,yes,no,no,No,Hawthorne,156,No,2801,2,21,0.2380952,1,0
male,1939,yes,yes,yes,no,yes,No,Control,156,Yes,2802,1,21,0.1904762,1,1
female,1961,yes,yes,yes,yes,yes,No,Control,156,Yes,2803,2,21,0.047619,0.952381,1
male,1957,yes,yes,yes,yes,yes,No,Control,156,Yes,2803,2,21,0.047619,0.952381,1
female,1958,yes,yes,yes,no,no,Yes,Civic Duty,156,No,2804,2,21,0.0952381,0.952381,0
male,1959,yes,yes,yes,no,no,No,Civic Duty,156,No,2804,2,21,0.0952381,0.952381,0
male,1951,yes,yes,yes,no,no,No,Self,156,No,2805,2,21,0.0952381,0.952381,0
female,1951,yes,no,yes,no,no,No,Self,156,No,2805,2,21,0.0952381,0.952381,0
female,1957,yes,yes,yes,no,no,No,Self,156,No,2806,2,21,0,0.8571429,0
male,1963,yes,yes,yes,no,no,No,Self,156,No,2806,2,21,0,0.8571429,0
female,1957,yes,yes,yes,no,no,No,Control,156,No,2807,2,21,0,0.9047619,0
male,1957,yes,yes,yes,no,yes,No,Control,156,No,2807,2,21,0,0.9047619,0
male,1967,yes,yes,yes,no,yes,No,Control,156,No,2808,3,21,0,0.952381,0
male,1944,yes,yes,yes,no,no,No,Control,156,Yes,2808,3,21,0,0.952381,1
female,1944,yes,yes,yes,no,no,No,Control,156,Yes,2808,3,21,0,0.952381,1
female,1944,yes,yes,yes,no,no,Yes,Hawthorne,181,No,3241,2,21,0.7619048,0.952381,0
male,1943,yes,yes,yes,no,no,Yes,Hawthorne,181,No,3241,2,21,0.7619048,0.952381,0
male,1964,yes,yes,yes,no,no,Yes,Civic Duty,181,No,3242,2,21,0.6190476,0.952381,0
female,1963,yes,yes,yes,no,no,No,Civic Duty,181,No,3242,2,21,0.6190476,0.952381,0
